💝湾湾频道👉全网,#genre#
博斯无限贰台,http://litv.zapi.us.kg/?id=litv-longturn13
阿里郎台,http://litv.zapi.us.kg/?id=4gtv-4gtv079
达文西台,http://litv.zapi.us.kg/?id=4gtv-4gtv018
猪哥亮歌厅台,http://litv.zapi.us.kg/?id=4gtv-4gtv006
亚洲旅游,http://litv.zapi.us.kg/?id=litv-longturn17
美国之音,http://litv.zapi.us.kg/?id=litv-ftv03
半岛新闻,http://litv.zapi.us.kg/?id=litv-ftv10
非凡商业,http://litv.zapi.us.kg/?id=4gtv-4gtv048
第壹商业,http://litv.zapi.us.kg/?id=4gtv-4gtv109
爱放动漫,http://litv.zapi.us.kg/?id=litv-ftv15
古典音乐,http://litv.zapi.us.kg/?id=4gtv-4gtv059
客家电视,http://litv.zapi.us.kg/?id=4gtv-4gtv043
华仁纪实,http://litv.zapi.us.kg/?id=4gtv-4gtv013
时尚运动,http://litv.zapi.us.kg/?id=4gtv-4gtv014
生活英语,http://litv.zapi.us.kg/?id=litv-longturn20
采昌影剧,http://litv.zapi.us.kg/?id=4gtv-4gtv049
数位电影,http://litv.zapi.us.kg/?id=4gtv-4gtv011
Amc电影,http://litv.zapi.us.kg/?id=4gtv-4gtv017
CAT电影,http://litv.zapi.us.kg/?id=4gtv-4gtv076
TRA体育,http://litv.zapi.us.kg/?id=4gtv-4gtv077
SMArt知识台,http://litv.zapi.us.kg/?id=litv-longturn19
GLO-Bet,http://litv.zapi.us.kg/?id=4gtv-4gtv016
TRACEU,http://litv.zapi.us.kg/?id=4gtv-4gtv082
MEZZOl,http://litv.zapi.us.kg/?id=4gtv-4gtv083
Ginx_TV,http://litv.zapi.us.kg/?id=4gtv-4gtv053
中天新闻,http://tw.ts138.top/4g/?id=4gtv-4gtv009
东森新闻,http://tw.ts138.top/4g/?id=4gtv-4gtv152
tvbs新闻,http://tw.ts138.top/4g/?id=4gtv-4gtv072
寰宇新闻,http://tw.ts138.top/4g/?id=litv-longturn14
非凡新闻,http://tw.ts138.top/4g/?id=4gtv-4gtv010
闽镜新闻,http://tw.ts138.top/4g/?id=4gtv-4gtv075
民视新闻,http://tw.ts138.top/4g/?id=litv-ftv13
中视新闻,http://tw.ts138.top/4g/?id=4gtv-4gtv074
华视新闻,http://tw.ts138.top/4g/?id=4gtv-4gtv052
台视新闻,http://tw.ts138.top/4g/?id=4gtv-4gtv051
民视闽南,http://tw.ts138.top/4g/?id=4gtv-4gtv002
民视闽南,http://tw.ts138.top/4g/?id=4gtv-4gtv155
中视闽南,http://tw.ts138.top/4g/?id=4gtv-4gtv040
华视闽南,http://tw.ts138.top/4g/?id=4gtv-4gtv041
台视闽南,http://tw.ts138.top/4g/?id=4gtv-4gtv066
寰宇闽南,http://tw.ts138.top/4g/?id=litv-longturn15
tvbs闽南,http://tw.ts138.top/4g/?id=4gtv-4gtv073
民视台湾,http://tw.ts138.top/4g/?id=4gtv-4gtv001
民视台湾,http://tw.ts138.top/4g/?id=4gtv-4gtv156
民视第一,http://tw.ts138.top/4g/?id=4gtv-4gtv003
民视旅游,http://tw.ts138.top/4g/?id=litv-ftv07
民视影剧,http://tw.ts138.top/4g/?id=litv-ftv09
民视综艺,http://tw.ts138.top/4g/?id=4gtv-4gtv004
中视菁采,http://tw.ts138.top/4g/?id=4gtv-4gtv064
中视经典,http://tw.ts138.top/4g/?id=4gtv-4gtv080
台视财经,http://tw.ts138.top/4g/?id=4gtv-4gtv056
公视戏剧,http://tw.ts138.top/4g/?id=4gtv-4gtv042
闽南戏剧,http://tw.ts138.top/4g/?id=litv-longturn22
国际财经,http://tw.ts138.top/4g/?id=4gtv-4gtv104
东森财经,http://tw.ts138.top/4g/?id=4gtv-4gtv153
tvbs精采,http://tw.ts138.top/4g/?id=4gtv-4gtv067
tvbs欢乐,http://tw.ts138.top/4g/?id=4gtv-4gtv068
八大精彩,http://tw.ts138.top/4g/?id=4gtv-4gtv034
八大综艺,http://tw.ts138.top/4g/?id=4gtv-4gtv039
爱尔达娱乐台,http://tw.ts138.top/4g/?id=4gtv-4gtv070
靖洋戏剧,http://tw.ts138.top/4g/?id=4gtv-4gtv045
靖洋卡通,http://tw.ts138.top/4g/?id=4gtv-4gtv057
靖天卡通,http://tw.ts138.top/4g/?id=4gtv-4gtv044
靖天综合,http://tw.ts138.top/4g/?id=4gtv-4gtv046
靖天日本,http://tw.ts138.top/4g/?id=4gtv-4gtv047
靖天欢乐,http://tw.ts138.top/4g/?id=4gtv-4gtv054
靖天映画,http://tw.ts138.top/4g/?id=4gtv-4gtv055
靖天戏剧,http://tw.ts138.top/4g/?id=4gtv-4gtv058
靖天电影,http://tw.ts138.top/4g/?id=4gtv-4gtv061
靖天育乐,http://tw.ts138.top/4g/?id=4gtv-4gtv062
靖天国际,http://tw.ts138.top/4g/?id=4gtv-4gtv063
靖天资讯,http://tw.ts138.top/4g/?id=4gtv-4gtv065
龙华卡通,http://tw.ts138.top/4g/?id=litv-longturn01
龙华日韩,http://tw.ts138.top/4g/?id=litv-longturn11
龙华偶像,http://tw.ts138.top/4g/?id=litv-longturn12
龙华电影,http://tw.ts138.top/4g/?id=litv-longturn03
龙华戏剧,http://tw.ts138.top/4g/?id=litv-longturn18
龙华经典,http://tw.ts138.top/4g/?id=litv-longturn21
国会壹台,http://tw.ts138.top/4g/?id=4gtv-4gtv084
国会贰台,http://tw.ts138.top/4g/?id=4gtv-4gtv085
好消息壹,http://tw.ts138.top/4g/?id=litv-ftv16
好消息贰,http://tw.ts138.top/4g/?id=litv-ftv17
智林体育,http://tw.ts138.top/4g/?id=4gtv-4gtv101
博斯魅力,http://tw.ts138.top/4g/?id=litv-longturn04
博斯网球,http://tw.ts138.top/4g/?id=litv-longturn09
博斯高球壹台,http://tw.ts138.top/4g/?id=litv-longturn05
博斯高球贰台,http://tw.ts138.top/4g/?id=litv-longturn06
博斯运动壹台,http://tw.ts138.top/4g/?id=litv-longturn07
博斯运动贰台,http://tw.ts138.top/4g/?id=litv-longturn08
博斯无限壹台,http://tw.ts138.top/4g/?id=litv-longturn10
博斯无限贰台,http://tw.ts138.top/4g/?id=litv-longturn13
阿里郎台,http://tw.ts138.top/4g/?id=4gtv-4gtv079
达文西台,http://tw.ts138.top/4g/?id=4gtv-4gtv018
猪哥亮歌厅台,http://tw.ts138.top/4g/?id=4gtv-4gtv006
亚洲旅游,http://tw.ts138.top/4g/?id=litv-longturn17
美国之音,http://tw.ts138.top/4g/?id=litv-ftv03
半岛新闻,http://tw.ts138.top/4g/?id=litv-ftv10
非凡商业,http://tw.ts138.top/4g/?id=4gtv-4gtv048
第壹商业,http://tw.ts138.top/4g/?id=4gtv-4gtv109
爱放动漫,http://tw.ts138.top/4g/?id=litv-ftv15
古典音乐,http://tw.ts138.top/4g/?id=4gtv-4gtv059
客家电视,http://tw.ts138.top/4g/?id=4gtv-4gtv043
华仁纪实,http://tw.ts138.top/4g/?id=4gtv-4gtv013
时尚运动,http://tw.ts138.top/4g/?id=4gtv-4gtv014
生活英语,http://tw.ts138.top/4g/?id=litv-longturn20
采昌影剧,http://tw.ts138.top/4g/?id=4gtv-4gtv049
数位电影,http://tw.ts138.top/4g/?id=4gtv-4gtv011
Amc电影,http://tw.ts138.top/4g/?id=4gtv-4gtv017
CAT电影,http://tw.ts138.top/4g/?id=4gtv-4gtv076
TRA体育,http://tw.ts138.top/4g/?id=4gtv-4gtv077
SMArt知识台,http://tw.ts138.top/4g/?id=litv-longturn19
GLO-Bet,http://tw.ts138.top/4g/?id=4gtv-4gtv016
TRACEU,http://tw.ts138.top/4g/?id=4gtv-4gtv082
MEZZOl,http://tw.ts138.top/4g/?id=4gtv-4gtv083
Ginx_TV,http://tw.ts138.top/4g/?id=4gtv-4gtv053
中天新闻,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv009
东森新闻,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv152
tvbs新闻,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv072
寰宇新闻,http://222.186.57.43:22222/php/litv.php?id=litv-longturn14
非凡新闻,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv010
闽镜新闻,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv075
民视新闻,http://222.186.57.43:22222/php/litv.php?id=litv-ftv13
中视新闻,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv074
华视新闻,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv052
台视新闻,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv051
民视闽南,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv002
民视闽南,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv155
中视闽南,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv040
华视闽南,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv041
台视闽南,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv066
寰宇闽南,http://222.186.57.43:22222/php/litv.php?id=litv-longturn15
tvbs闽南,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv073
民视台湾,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv001
民视台湾,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv156
民视第一,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv003
民视旅游,http://222.186.57.43:22222/php/litv.php?id=litv-ftv07
民视影剧,http://222.186.57.43:22222/php/litv.php?id=litv-ftv09
民视综艺,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv004
中视菁采,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv064
中视经典,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv080
台视财经,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv056
公视戏剧,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv042
闽南戏剧,http://222.186.57.43:22222/php/litv.php?id=litv-longturn22
国际财经,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv104
东森财经,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv153
tvbs精采,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv067
tvbs欢乐,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv068
八大精彩,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv034
八大综艺,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv039
爱尔达娱乐台,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv070
靖洋戏剧,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv045
靖洋卡通,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv057
靖天卡通,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv044
靖天综合,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv046
靖天日本,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv047
靖天欢乐,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv054
靖天映画,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv055
靖天戏剧,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv058
靖天电影,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv061
靖天育乐,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv062
靖天国际,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv063
靖天资讯,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv065
龙华卡通,http://222.186.57.43:22222/php/litv.php?id=litv-longturn01
龙华日韩,http://222.186.57.43:22222/php/litv.php?id=litv-longturn11
龙华偶像,http://222.186.57.43:22222/php/litv.php?id=litv-longturn12
龙华电影,http://222.186.57.43:22222/php/litv.php?id=litv-longturn03
龙华戏剧,http://222.186.57.43:22222/php/litv.php?id=litv-longturn18
龙华经典,http://222.186.57.43:22222/php/litv.php?id=litv-longturn21
国会壹台,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv084
国会贰台,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv085
好消息壹,http://222.186.57.43:22222/php/litv.php?id=litv-ftv16
好消息贰,http://222.186.57.43:22222/php/litv.php?id=litv-ftv17
智林体育,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv101
博斯魅力,http://222.186.57.43:22222/php/litv.php?id=litv-longturn04
博斯网球,http://222.186.57.43:22222/php/litv.php?id=litv-longturn09
博斯高球壹台,http://222.186.57.43:22222/php/litv.php?id=litv-longturn05
博斯高球贰台,http://222.186.57.43:22222/php/litv.php?id=litv-longturn06
博斯运动壹台,http://222.186.57.43:22222/php/litv.php?id=litv-longturn07
博斯运动贰台,http://222.186.57.43:22222/php/litv.php?id=litv-longturn08
博斯无限壹台,http://222.186.57.43:22222/php/litv.php?id=litv-longturn10
博斯无限贰台,http://222.186.57.43:22222/php/litv.php?id=litv-longturn13
阿里郎台,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv079
达文西台,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv018
猪哥亮歌厅台,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv006
亚洲旅游,http://222.186.57.43:22222/php/litv.php?id=litv-longturn17
美国之音,http://222.186.57.43:22222/php/litv.php?id=litv-ftv03
半岛新闻,http://222.186.57.43:22222/php/litv.php?id=litv-ftv10
非凡商业,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv048
第壹商业,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv109
爱放动漫,http://222.186.57.43:22222/php/litv.php?id=litv-ftv15
古典音乐,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv059
客家电视,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv043
华仁纪实,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv013
时尚运动,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv014
生活英语,http://222.186.57.43:22222/php/litv.php?id=litv-longturn20
采昌影剧,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv049
数位电影,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv011
Amc电影,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv017
CAT电影,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv076
TRA体育,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv077
SMArt知识台,http://222.186.57.43:22222/php/litv.php?id=litv-longturn19
GLO-Bet,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv016
TRACEU,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv082
MEZZOl,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv083
Ginx_TV,http://222.186.57.43:22222/php/litv.php?id=4gtv-4gtv053
中天新闻,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv009
东森新闻,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv152
tvbs新闻,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv072
寰宇新闻,http://serv00.bkpcp.top/litv3.php?id=litv-longturn14
非凡新闻,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv010
闽镜新闻,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv075
民视新闻,http://serv00.bkpcp.top/litv3.php?id=litv-ftv13
中视新闻,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv074
华视新闻,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv052
台视新闻,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv051
民视闽南,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv002
民视闽南,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv155
中视闽南,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv040
华视闽南,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv041
台视闽南,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv066
寰宇闽南,http://serv00.bkpcp.top/litv3.php?id=litv-longturn15
tvbs闽南,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv073
民视台湾,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv001
民视台湾,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv156
民视第一,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv003
民视旅游,http://serv00.bkpcp.top/litv3.php?id=litv-ftv07
民视影剧,http://serv00.bkpcp.top/litv3.php?id=litv-ftv09
民视综艺,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv004
中视菁采,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv064
中视经典,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv080
台视财经,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv056
公视戏剧,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv042
闽南戏剧,http://serv00.bkpcp.top/litv3.php?id=litv-longturn22
国际财经,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv104
东森财经,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv153
tvbs精采,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv067
tvbs欢乐,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv068
八大精彩,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv034
八大综艺,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv039
爱尔达娱乐台,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv070
靖洋戏剧,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv045
靖洋卡通,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv057
靖天卡通,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv044
靖天综合,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv046
靖天日本,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv047
靖天欢乐,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv054
靖天映画,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv055
靖天戏剧,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv058
靖天电影,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv061
靖天育乐,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv062
靖天国际,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv063
靖天资讯,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv065
龙华卡通,http://serv00.bkpcp.top/litv3.php?id=litv-longturn01
龙华日韩,http://serv00.bkpcp.top/litv3.php?id=litv-longturn11
龙华偶像,http://serv00.bkpcp.top/litv3.php?id=litv-longturn12
龙华电影,http://serv00.bkpcp.top/litv3.php?id=litv-longturn03
龙华戏剧,http://serv00.bkpcp.top/litv3.php?id=litv-longturn18
龙华经典,http://serv00.bkpcp.top/litv3.php?id=litv-longturn21
国会壹台,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv084
国会贰台,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv085
好消息壹,http://serv00.bkpcp.top/litv3.php?id=litv-ftv16
好消息贰,http://serv00.bkpcp.top/litv3.php?id=litv-ftv17
智林体育,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv101
博斯魅力,http://serv00.bkpcp.top/litv3.php?id=litv-longturn04
博斯网球,http://serv00.bkpcp.top/litv3.php?id=litv-longturn09
博斯高球壹台,http://serv00.bkpcp.top/litv3.php?id=litv-longturn05
博斯高球贰台,http://serv00.bkpcp.top/litv3.php?id=litv-longturn06
博斯运动壹台,http://serv00.bkpcp.top/litv3.php?id=litv-longturn07
博斯运动贰台,http://serv00.bkpcp.top/litv3.php?id=litv-longturn08
博斯无限壹台,http://serv00.bkpcp.top/litv3.php?id=litv-longturn10
博斯无限贰台,http://serv00.bkpcp.top/litv3.php?id=litv-longturn13
阿里郎台,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv079
达文西台,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv018
猪哥亮歌厅台,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv006
亚洲旅游,http://serv00.bkpcp.top/litv3.php?id=litv-longturn17
美国之音,http://serv00.bkpcp.top/litv3.php?id=litv-ftv03
半岛新闻,http://serv00.bkpcp.top/litv3.php?id=litv-ftv10
非凡商业,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv048
第壹商业,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv109
爱放动漫,http://serv00.bkpcp.top/litv3.php?id=litv-ftv15
古典音乐,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv059
客家电视,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv043
华仁纪实,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv013
时尚运动,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv014
生活英语,http://serv00.bkpcp.top/litv3.php?id=litv-longturn20
采昌影剧,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv049
数位电影,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv011
Amc电影,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv017
CAT电影,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv076
TRA体育,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv077
SMArt知识台,http://serv00.bkpcp.top/litv3.php?id=litv-longturn19
GLO-Bet,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv016
TRACEU,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv082
MEZZOl,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv083
Ginx_TV,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv053


中视闽南台,rtmp://f13h.mine.nu/sat/tv091
台视闽南台,rtmp://f13h.mine.nu/sat/tv071
华视闽南台,rtmp://f13h.mine.nu/sat/tv111
东森超视台,rtmp://f13h.mine.nu/sat/tv331
MoMo综合,rtmp://f13h.mine.nu/sat/tv761
纬来日本台,rtmp://f13h.mine.nu/sat/tv771
纬来育乐台,rtmp://f13h.mine.nu/sat/tv701
纬来体育台,rtmp://f13h.mine.nu/sat/tv721
ELEVEN1台,rtmp://f13h.mine.nu/sat/tv731
