
🇹🇼臺灣電視,#genre#
TVBS新闻HD,http://38.64.72.148/hls/modn/list/4006/chunklist1.m3u8
TVBS新闻HD,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8
镜新闻,http://61.10.2.141/live_freedirect/freehd209_h.live/playlist.m3u8
镜新闻,http://tvmvip110.club/live.php?id=jxw
寰宇新闻HD,http://tvmvip110.club/live.php?id=hyxw
寰宇新闻HD,http://2023.stream-link.org/playlist/global_news.flv
寰宇新闻HD,https://ytm2.yuanhsing.cf/GlobalNewsTV.m3u8
寰宇台湾新闻,http://2023.stream-link.org/playlist/global_tw.flv
壹新闻HD,http://123.51.230.124:8550/.m3u8
台视新闻HD,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=156398&extension=ts&play_token=UEKTIim7lP
台视新闻HD,http://38.64.72.148/hls/modn/list/4013/playlist.m3u8
台视新闻HD,http://tvmvip110.club/live.php?id=ts
台视新闻HD,http://2023.stream-link.org/playlist/ttv_news.flv
台视新闻HD,http://2023.stream-link.org/playlist/ttv_news
台视新闻HD,http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
台视新闻HD,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
台视新闻HD,https://ytm2.yuanhsing.cf/ttvnewsview.m3u81
台视综合HD,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=156392&extension=ts&play_token=UEKTIim7lP
台视HD,https://epg.pw/stream/e43c7da3f07bd4a5c8584901e2f6ff522368b6b3d8a02ac7e476de8a9a31912c.ctv
台视HD,http://23.237.10.66:16344
台视HD,http://107.151.203.111:2209/135/us50.php?id=tsk
台视HD,http://123.51.230.108:18543/.m3u8
中天亚洲台,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=571212&extension=ts&play_token=yaoffzUbUJ
中天亚洲台,http://185.243.7.13/play/live.php?mac=00:1A:79:BF:D2:44&extension=ts&play_token=1pLS8RVt8V&stream=941638
中天新闻HD,http://seb.sason.top/sc/ztxw_fhd.m3u8
中天新闻HD,http://tvmvip110.club/live.php?id=ztxw
中天新闻HD,http://2023.stream-link.org/playlist/cti_news
中天综合台,http://23.237.10.66:16372
中天综合台,http://pull-l3-cny.douyincdn.com/third/stream-5f26752efeee9e0c53cf6b530640ce60.flv
中天综合台,http://107.151.203.111:2209/135/us50.php?id=ztz
中天综合台,http://2023.stream-link.org/playlist/cti_zh.flv
华视新闻资讯,http://seb.sason.top/sc/hsxw_fhd.m3u8
华视新闻资讯,http://stream.dsichannel.com:80/hls/cts-news.m3u8
华视新闻HD,http://tvmvip110.club/live.php?id=hsxw
华视HD,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=156391&extension=ts&play_token=UEKTIim7lP
华视HD,rtmp://119.81.124.89/sat/tv111
华视CTSHD,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV12.m3u8
华视CTSHD,https://ytm2.yuanhsing.cf/ctsprog.m3u8
华视CTSHD,https://ytm2.yuanhsing.cf/ctsprog.m3u8
东森中国台,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=156393&extension=ts&play_token=UEKTIim7lP
东森卫视HD,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=156394&extension=ts&play_token=UEKTIim7lP
东森美洲HD,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=156397&extension=ts&play_token=UEKTIim7lP
东森亚洲卫视,https://epg.pw/stream/24902af2f2babc48561b197a028bc127eba8d384a0130c2f775393c833adc55d.m3u8
东森超视34.5,https://epg.pw/stream/eb60567383fe9a9226fd2ea1f728a1acbf5dd7543ede209993527ef9bef82a68.m3u8
东森超视34.5,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
东森新闻,http://123.51.230.108:8531/.m3u8
东森新闻,http://2023.stream-link.org/playlist/ebc_news.flv
东森新闻,http://2023.stream-link.org/playlist/ebc_news
东森新闻,http://seb.sason.top/sc/dsxw_fhd.m3u8
东森财经HD,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=156396&extension=ts&play_token=UEKTIim7lP
东森财经HD,http://123.51.230.108:18515/.m3u8
东森财经HD,https://ytm2.yuanhsing.cf/EBCFinancial.m3u8
东森财经HD,http://seb.sason.top/sc/dscjxw_fhd.m3u8
东森戏剧HD,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=156395&extension=ts&play_token=UEKTIim7lP
东森戏剧HD,http://123.51.230.108:18538/.m3u8
东森yoyo,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=156403&extension=ts&play_token=UEKTIim7lP
八大第一台HD,http://123.51.230.108:18539/.m3u8
智林体育,http://www.336699.live:1935/blockfour/4gtv-4gtv101.stream/playlist.m3u8
大立电视,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
无线新闻台,http://107.151.203.111:2209/135/hk.php?id=cable37h
无线新闻台,https://pull-l3-cny.douyincdn.com/live/stream-112175tvb1202212212.m3u8
无线新闻台,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=153399&extension=ts&play_token=ICdnbP1fWe
无线新闻台,https://tvp22.sky4k.top/index1.php
无线新闻台,http://iptv.cooltv.top/tv/tvb.php?id=0
无线新闻台,http://shazui.8866.org:800/hls/82/index.m3u8
香港资讯台,https://cdn.hklive.tv/xxxx/78/index.m3u8
香港资讯台,https://cdn.hklive.tv/xxxx/77/index.m3u8
ViuTV,https://live.astradamy.com/viutv/index.m3u8
ViuTV,http://baidu.douyincdn.freetvtv.com/vius/m2.m3u8
RTHK31,https://cdn.hklive.tv/xxxx/31/index.m3u8
RTHK31,http://2022.stream-link.org/playlist/rthk_31
RTHK31,http://shazui.8866.org:800/hls/89/index.m3u8
RTHK32,https://cdn.hklive.tv/xxxx/32/index.m3u8
RTHK32,http://2022.stream-link.org/playlist/rthk_32
RTHK33,https://cdn.hklive.tv/xxxx/33/index.m3u8
RTHK33,https://live.astradamy.com/hk33/index.m3u8
RTHK34,https://cdn.hklive.tv/xxxx/34/index.m3u8
TVB华丽台,http://23.237.10.66:16410
TVB华丽台,http://r.jdshipin.com/thuYX
TVB1台,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=153401&extension=ts&play_token=ICdnbP1fWe
TVB1台,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=153396&extension=ts&play_token=ICdnbP1fWe
翡翠台,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=153395&extension=ts&play_token=ICdnbP1fWe
翡翠台,http://107.151.203.111:2209/135/hk.php?id=tvbfct
翡翠台,http://r.jdshipin.com/thuYX
翡翠台,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=153398&extension=ts&play_token=ICdnbP1fWe
翡翠台,https://live.astradamy.com/tvbfc/index.m3u8
翡翠台,http://radius.8866.org:800/hls/80/index.m3u8
翡翠台,http://shazui.8866.org:800/hls/80/index.m3u8
翡翠台,http://185.243.7.13/play/live.php?mac=00:1A:79:BF:D2:44&extension=ts&play_token=1pLS8RVt8V&stream=941619
翡翠台,http://r.jdshipin.com/62WM7
翡翠台,http://r.jdshipin.com/n90gt
翡翠台,http://qwas.eatuo.com:9901/tsfile/live/1013_1.m3u8
翡翠台,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=571187&extension=ts&play_token=HnxccIWiNo
珍珠台,https://live.astradamy.com/tvbpearl/index.m3u8
明珠台,http://chihomai.top:5678/gudou.php?phone=18664735406&ptoken=0OgMrvQ1pCDopjeG91Ve4A%3D%3D&pserialnumber=6f9b30ce4249b041&cid=364&id=1351_4500
明珠台,https://cdn.hklive.tv/xxxx/84/index.m3u8
明珠台,http://107.151.203.111:2209/135/hk.php?id=tvbmzt
明珠台,http://qwas.eatuo.com:9901/tsfile/live/1014_1.m3u8?zgangd
明珠台,http://r.jdshipin.com/ZQ4kN
J2,https://cdn.hklive.tv/xxxx/82/index.m3u8
J2,https://live.astradamy.com/tvbj2/index.m3u8
J2,http://baidu.douyincdn.freetvtv.com/j2/index.m3u8
J2,http://shazui.8866.org:800/hls/81/index.m3u8
J2,https://cdn.hklive.tv/xxxx/82/index.m3u8
凤凰中文,http://107.151.203.111:2209/135/hk.php?id=fhzw
凤凰中文,http://123.51.230.108:18581/.m3u8
凤凰中文,https://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8
凤凰中文,https://playtv-live.ifeng.com/live/06OLEGEGM4G_tv2.m3u8
凤凰资讯,http://123.51.230.108:18580/.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8?zgangd
TVB财经台,https://p2.weizan.cn:443/1646497941/269664979080385265/live.m3u8?$1M1280x720
TVB千禧经典台,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=571197&extension=ts&play_token=HnxccIWiNo
TVB娱乐新闻台,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=571188&extension=ts&play_token=HnxccIWiNo
TVB星河频道,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941620&extension=ts&play_token=vFR5CkmzbA
TVB星河频道,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=571186&extension=ts&play_token=HnxccIWiNo
TVB星河频道,http://183.239.193.55:2223/hls/6/index.m3u8
TVB星河频道,http://lcx-olt.8866.org:8181/tsfile/live/1004_1.m3u8
TVB星河频道,http://fyld.eatuo.com:9901/tsfile/live/1006_1.m3u8
TVB星河频道,http://gxfrg007.8800.org:8282/tsfile/live/1062_1.m3u8
TVB星河频道,http://185.243.7.13/play/live.php?mac=00:1A:79:BF:D2:44&extension=ts&play_token=1pLS8RVt8V&stream=941620
RTHK31,http://2022.stream-link.org/playlist/rthk_31
RTHK31,http://shazui.8866.org:800/hls/89/index.m3u8
RTHK32,http://2022.stream-link.org/playlist/rthk_32
RTHK32,http://shazui.8866.org:800/hls/90/index.m3u8
RTHK32,http://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/master.m3u8
星空卫视,http://120.84.96.113:808/hls/79/index.m3u8
星空卫视,http://107.151.203.111:2209/135/hk.php?id=xkwst
星空卫视,http://210.210.155.37/x6bnqe/s/s94/index2.m3u8
星空卫视,http://jylt.jdshipin.com:808/hls/79/index.m3u8
龙祥时代,http://120.84.96.87:808/hls/35/index.m3u8
龙祥时代,http://120.84.96.108:808/hls/35/index.m3u8
龙祥时代,http://120.84.96.113:808/hls/35/index.m3u8
龙祥时代,http://120.84.96.23:808/hls/35/index.m3u8
龙祥时代,http://lcx-olt.8866.org:8181/tsfile/live/1077_1.m3u8
龙祥时代,https://epg.pw/stream/af3d4696a51795162a37751aa9540a4bb224ef256d6ade811cc8418030e666ae.m3u8
东森电影,http://120.84.96.87:808/hls/32/index.m3u8
东森电影,http://120.84.96.113:808/hls/32/index.m3u8
东森电影,http://120.84.96.108:808/hls/32/index.m3u8
东森电影,http://120.84.96.23:808/hls/32/index.m3u8
东森电影,http://lcx-olt.8866.org:8181/tsfile/live/1075_1.m3u8
东森电影,http://120.84.96.28:808/hls/32/index.m3u8
东森电影,http://120.84.96.89:808/hls/32/index.m3u8
东森电影,http://120.84.96.82:808/hls/32/index.m3u8
东森电影,http://120.84.96.73:808/hls/32/index.m3u8
东森洋片,http://120.84.96.108:808/hls/33/index.m3u8
东森洋片,http://120.84.96.87:808/hls/33/index.m3u8
东森洋片,http://120.84.96.28:808/hls/33/index.m3u8
东森洋片,http://120.84.96.23:808/hls/33/index.m3u8
东森洋片,http://120.84.96.73:808/hls/33/index.m3u8
东森洋片,http://120.84.96.82:808/hls/33/index.m3u8
天映经典,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=571182&extension=ts&play_token=HnxccIWiNo
天映经典,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941639&extension=ts&play_token=vFR5CkmzbA
天映经典,http://185.243.7.13/play/live.php?mac=00:1A:79:BF:D2:44&extension=ts&play_token=1pLS8RVt8V&stream=941639
天映经典,http://210.210.155.37/qwr9ew/s/s31/index2.m3u8
天映频道,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=571218&extension=ts&play_token=HnxccIWiNo
天映频道,http://210.210.155.35:80/dr9445/h/h14/02.m3u8
天映频道,http://185.243.7.13/play/live.php?mac=00:1A:79:BF:D2:44&extension=ts&play_token=1pLS8RVt8V&stream=941618
天映频道,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941618&extension=ts&play_token=vFR5CkmzbA
高清电影台,http://pull-l3-cny.douyincdn.com/third/stream-8ef14dc0eb0f812bfa0a1311d0134f8d.flv
靖天欢乐台,http://www.336699.live:1935/blockfour/4gtv-4gtv054.stream/playlist.m3u8
靖洋戏剧台,http://www.336699.live:1935/blockfour/4gtv-4gtv045.stream/playlist.m3u8
采昌影剧台,http://www.336699.live:1935/blockfour/4gtv-4gtv049.stream/playlist.m3u8
靖天戏剧台,http://www.336699.live:1935/blockfour/4gtv-4gtv058.stream/playlist.m3u8
靖天育乐台,http://www.336699.live:1935/blockfour/4gtv-4gtv062.stream/playlist.m3u8
靖天卡通台,http://www.336699.live:1935/blockfour/4gtv-4gtv044.stream/playlist.m3u8
靖天国际台,http://www.336699.live:1935/blockfour/4gtv-4gtv063.stream/playlist.m3u8
靖天映画,http://www.336699.live:1935/blockfour/4gtv-4gtv055.stream/playlist.m3u8
龙华电影,https://epg.pw/stream/e4f21acda4343622520728335bad935a0f525b0afb005d52e8cb4f96c1c0f423.m3u8
龙华戏剧,http://123.51.230.108:18513/.m3u8
凤凰电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8
WB TV,http://208.115.225.174:14132
TVN,http://185.243.7.13/play/live.php?mac=00:1A:79:BF:D2:44&extension=ts&play_token=1pLS8RVt8V&stream=941623
TVN电影台,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=571261&extension=ts&play_token=HnxccIWiNo
双星,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=571191&extension=ts&play_token=6Do9QdLKkM
全佳,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=571192&extension=ts&play_token=xEP94V2R5Q
小太阳,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=571230&extension=ts&play_token=D3QyPDZb9O
ONE,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941628&extension=ts&play_token=vFR5CkmzbA
HUB娱家,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941634&extension=ts&play_token=vFR5CkmzbA
astro,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=571229&extension=ts&play_token=HnxccIWiNo






🎈央视直播,#genre#
CCTV1_2.5M720,http://cyz32.livehbindex.hbcatv.cn/live/50000020935c4d59965a1cbf159c9be9.m3u8?bitrate=2300&pt=5
CCTV2_2.5M720,http://cyz32.livehbindex.hbcatv.cn/live/50000020d7ae404dbd55b5d0ba6fe735.m3u8?bitrate=2300&pt=5
CCTV3_2.5M720(4:3),http://cyz32.livehbindex.hbcatv.cn/live/50000020425540c3b4e7c41ca3eabb76.m3u8?bitrate=2300&pt=5
CCTV4_2.5M720,http://cyz32.livehbindex.hbcatv.cn/live/5b0dff5235e94ba8bff8731427145289.m3u8?bitrate=2300&pt=5
CCTV5_2.5M720(4:3),http://cyz32.livehbindex.hbcatv.cn/live/500000206cd748d58f41b13aa2754139.m3u8?bitrate=2300&pt=5
CCTV5+_2.5M720,http://cyz32.livehbindex.hbcatv.cn/live/50000020484943edba96ac9f93f858ce.m3u8?bitrate=2300&pt=5
CCTV6_2.5M720(4:3),http://cyz32.livehbindex.hbcatv.cn/live/50000020da6d4c40a2ca3b1bdc786016.m3u8?bitrate=2300&pt=5
CCTV7_2.5M720,http://cyz32.livehbindex.hbcatv.cn/live/500000204daa45af99b5800a528fac21.m3u8?bitrate=2300&pt=5
CCTV8_2.5M720(拉伸),http://cyz32.livehbindex.hbcatv.cn/live/500000202d8c4f56ba03e623caa09f1b.m3u8?bitrate=2300&pt=5
CCTV9_2.5M720,http://cyz32.livehbindex.hbcatv.cn/live/50000020edf54f6c92778d0ccdfcca30.m3u8?bitrate=2300&pt=5
CCTV10_2.5M720,http://cyz32.livehbindex.hbcatv.cn/live/a66832f3323643189c3a0e91f9fad3e3.m3u8?bitrate=2300&pt=5
CCTV11_2.5M576,http://cyz32.livehbindex.hbcatv.cn/live/5000002086444f0886ad7032ad8f756b.m3u8?bitrate=2300&pt=5
CCTV12_2.5M720,http://cyz32.livehbindex.hbcatv.cn/live/fbe7688bc539461da71ff649e4ba1d75.m3u8?bitrate=2300&pt=5
CCTV13_2.5M720,http://cyz32.livehbindex.hbcatv.cn/live/5000002081f5478882f00a0f9be4b01f.m3u8?bitrate=2300&pt=5
CCTV14_2.5M720,http://cyz32.livehbindex.hbcatv.cn/live/8a22035194884b1eb5515aac434c313c.m3u8?bitrate=2300&pt=5
CCTV15_2.5M576,http://cyz32.livehbindex.hbcatv.cn/live/50000020f44f4f4b8aa33925dba216df.m3u8?bitrate=2300&pt=5
CCTV16_2.5M720,http://cyz32.livehbindex.hbcatv.cn/live/50000020c65d4a6b9b4e278405124734.m3u8?bitrate=2300&pt=5
CCTV17_2.5M720,http://cyz32.livehbindex.hbcatv.cn/live/500000208b8d41c4b436ef32428c229d.m3u8?bitrate=2300&pt=5
CCTV1,http://1.183.141.194:8000/hls/1/index.m3u8
CCTV2,http://1.183.141.194:8000/hls/2/index.m3u8
CCTV3,http://1.183.141.194:8000/hls/3/index.m3u8
CCTV4,http://1.183.141.194:8000/hls/4/index.m3u8
CCTV5,http://1.183.141.194:8000/hls/5/index.m3u8
CCTV6,http://1.183.141.194:8000/hls/6/index.m3u8
CCTV7,http://1.183.141.194:8000/hls/7/index.m3u8
CCTV8,http://1.183.141.194:8000/hls/8/index.m3u8
CCTV9,http://1.183.141.194:8000/hls/9/index.m3u8
CCTV10,http://1.183.141.194:8000/hls/10/index.m3u8
CCTV11,http://1.183.141.194:8000/hls/11/index.m3u8
CCTV12,http://1.183.141.194:8000/hls/12/index.m3u8
CCTV13,http://1.183.141.194:8000/hls/13/index.m3u8
CCTV14,http://1.183.141.194:8000/hls/14/index.m3u8
CCTV15,http://1.183.141.194:8000/hls/15/index.m3u8

🎈卫视直播,#genre#

CETV1,http://live.aishang.ctlcdn.com/00000110240302_1/playlist.m3u8?CONTENTID=00000110240302_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CGTN,http://live.aishang.ctlcdn.com/00000110240365_1/playlist.m3u8?CONTENTID=00000110240365_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CGTN,http://live.aishang.ctlcdn.com/00000110240366_1/playlist.m3u8?CONTENTID=00000110240366_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CGTN,http://live.aishang.ctlcdn.com/00000110240367_1/playlist.m3u8?CONTENTID=00000110240367_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CGTN,http://live.aishang.ctlcdn.com/00000110240368_1/playlist.m3u8?CONTENTID=00000110240368_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CGTN,http://live.aishang.ctlcdn.com/00000110240369_1/playlist.m3u8?CONTENTID=00000110240369_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
